-- Fees Data Insert Script
-- Generated: 2025-12-25 20:27:19
-- Total Records: 477

-- ============================================
-- Data Summary:
-- Students: 477

-- Payment Status Distribution:
--   Paid on time: 60% of students
--   Paid late (10-30 days): 25% of students
--   Not paid (PaidDate = NULL): 15% of students

-- Fee Amount Range: 50,000 - 150,000
-- Academic Year: 2024
-- ============================================

INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (1, 1, 71145.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('02-Sep-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (2, 1, 80708.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('31-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (3, 2, 89660.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('10-Sep-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (4, 2, 77024.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('03-Feb-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (5, 3, 86386.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('08-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (6, 3, 76789.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('07-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (7, 4, 80557.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('10-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (8, 4, 82416.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('07-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (9, 5, 77992.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), NULL);
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (10, 5, 86193.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), NULL);
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (11, 6, 88067.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('13-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (12, 6, 76197.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('12-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (13, 7, 77484.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('07-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (14, 7, 74466.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('05-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (15, 8, 86195.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('09-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (16, 8, 71437.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('13-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (17, 9, 72211.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('10-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (18, 9, 76651.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('06-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (19, 10, 89993.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('10-Sep-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (20, 10, 84534.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('26-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (21, 11, 71931.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), NULL);
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (22, 11, 74977.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), NULL);
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (23, 12, 85424.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('26-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (24, 12, 76703.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('05-Feb-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (25, 13, 85471.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('08-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (26, 13, 87474.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('09-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (27, 14, 79477.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('10-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (28, 14, 73844.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('09-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (29, 15, 75887.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('14-Sep-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (30, 15, 80209.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('26-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (31, 16, 81983.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('08-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (32, 16, 88605.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('13-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (33, 17, 85517.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('10-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (34, 17, 81132.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('06-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (35, 18, 83389.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('10-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (36, 18, 71585.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('10-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (37, 19, 85162.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('14-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (38, 19, 70012.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('09-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (39, 20, 84012.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('28-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (40, 20, 82054.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('28-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (41, 21, 74299.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('14-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (42, 21, 70109.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('05-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (43, 22, 83231.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('06-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (44, 22, 88502.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('14-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (45, 23, 75128.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('11-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (46, 23, 70457.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('06-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (47, 24, 84288.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('14-Sep-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (48, 24, 74741.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('05-Feb-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (49, 25, 72327.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('14-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (50, 25, 75432.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('09-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (51, 26, 89311.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('27-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (52, 26, 74116.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('07-Feb-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (53, 27, 86243.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('13-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (54, 27, 81620.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('05-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (55, 28, 87084.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), NULL);
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (56, 28, 82187.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), NULL);
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (57, 29, 80327.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('11-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (58, 29, 85097.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('06-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (59, 30, 71569.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('12-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (60, 30, 79793.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('08-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (61, 31, 84412.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('30-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (62, 31, 71283.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('05-Feb-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (63, 32, 84189.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), NULL);
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (64, 32, 73813.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), NULL);
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (65, 33, 82927.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('05-Sep-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (66, 33, 81850.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('14-Feb-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (67, 34, 89328.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('10-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (68, 34, 71275.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('10-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (69, 35, 75309.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('10-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (70, 35, 81004.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('14-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (71, 36, 87226.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('14-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (72, 36, 71441.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('12-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (73, 37, 87248.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), NULL);
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (74, 37, 84640.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), NULL);
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (75, 38, 70406.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('09-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (76, 38, 72355.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('14-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (77, 39, 72753.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('06-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (78, 39, 79231.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('05-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (79, 40, 84871.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('12-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (80, 40, 88489.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('09-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (81, 41, 75266.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('08-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (82, 41, 77543.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('09-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (83, 42, 84562.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('14-Aug-2024', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (84, 42, 82780.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), TO_DATE('09-Jan-2025', 'DD-MON-YYYY'));
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (85, 43, 77377.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), NULL);
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (86, 43, 83117.00, TO_DATE('15-Jan-2025', 'DD-MON-YYYY'), NULL);
INSERT INTO Fees (FeeID, StudentID, Amount, DueDate, PaidDate) VALUES (87, 44, 87624.00, TO_DATE('15-Aug-2024', 'DD-MON-YYYY'), TO_DATE('12-Aug-2024', 'DD-MON-YYYY'));
